date,error,tweet count,token count
2023-03-25,,18,1182
2020-08-24,,21,1179
2018-01-18,,24,1179
2020-10-05,,22,1175
2019-09-20,,18,1173
2023-06-14,,20,1173
2021-09-18,,23,1172
2020-03-17,,19,1171
2020-06-15,,20,1170
2020-01-31,,18,1167
2020-08-18,,23,1166
2021-05-10,,18,1165
2018-08-03,,20,1163
2020-05-21,,20,1161
2019-12-10,,17,1161
2018-03-27,,21,1159
2022-01-22,,24,1159
2020-02-18,,17,1156
2020-07-16,,22,1155
2018-01-11,,20,1155
2018-01-24,,22,1155
2020-08-04,,19,1154
2020-03-19,,18,1153
2020-03-02,,18,1153
2020-05-29,,19,1152
2020-04-01,,17,1152
2022-11-06,,21,1151
2020-05-27,,19,1150
2020-11-29,,19,1148
2018-03-21,,21,1147
2020-02-03,,19,1147
2023-04-08,,17,1147
2020-10-26,,22,1145
2018-02-19,,19,1141
2020-12-12,,15,1141
2019-08-29,,18,1140
2023-05-13,,17,1133
2019-06-18,,17,1130
2018-04-09,,20,1130
2018-03-06,,20,1130
2022-05-07,,24,1129
2019-04-18,,17,1129
2021-07-03,,20,1129
2020-02-11,,19,1128
2018-03-16,,21,1126
2020-05-02,,18,1124
2020-01-28,,16,1124
2018-10-03,,16,1123
2019-11-07,,16,1122
2022-06-18,,22,1121
2022-04-02,,23,1120
2018-01-10,,21,1119
2020-03-12,,19,1119
2018-01-23,,22,1118
2022-10-15,,20,1117
2023-01-29,,21,1117
2020-02-04,,19,1116
2018-12-19,,18,1116
